id,name,created_at,product_category
1,Generic Fresh Keyboard,2020-02-22 00:00:00,Computers
2,Gorgeous Cotton Sausages,2020-05-04 00:00:00,Phones
3,Practical Wooden Keyboard,2019-03-14 00:00:00,Clothing
4,Handmade Wooden Soap,2019-04-28 00:00:00,Toys
5,Handcrafted Rubber Chicken,2019-05-09 00:00:00,Phones
6,Handcrafted Plastic Chair,2021-02-27 00:00:00,Phones
7,Refined Soft Mouse,2021-05-24 00:00:00,Jewellery
8,Practical Plastic Sausages,2021-07-30 00:00:00,Watches
9,Handmade Wooden Chicken,2020-11-10 00:00:00,Jewellery
10,Fantastic Rubber Shirt,2019-12-09 00:00:00,Toys
11,Intelligent Soft Car,2020-04-11 00:00:00,Home
12,Handcrafted Rubber Chips,2021-01-02 00:00:00,Electronics
13,Incredible Granite Cheese,2020-03-13 00:00:00,Home
14,Small Fresh Pants,2019-02-07 00:00:00,Jewellery
15,Intelligent Cotton Ball,2019-03-03 00:00:00,Sports
16,Licensed Plastic Tuna,2021-06-30 00:00:00,Clothing
17,Incredible Granite Bacon,2021-05-18 00:00:00,Jewellery
18,Refined Concrete Cheese,2021-09-14 00:00:00,Watches
19,Intelligent Concrete Pizza,2021-05-11 00:00:00,Electronics
20,Sleek Soft Chicken,2021-04-17 00:00:00,Home
21,Sleek Rubber Bike,2020-11-12 00:00:00,Electronics
22,Tasty Rubber Mouse,2021-06-20 00:00:00,Phones
23,Licensed Cotton Fish,2021-03-05 00:00:00,Jewellery
24,Tasty Plastic Mouse,2020-10-14 00:00:00,Watches
25,Generic Plastic Bacon,2021-05-01 00:00:00,Toys
26,Incredible Steel Chair,2019-06-08 00:00:00,Toys
27,Tasty Wooden Pants,2019-01-19 00:00:00,Sports
28,Handmade Concrete Keyboard,2020-06-05 00:00:00,Toys
29,Handcrafted Rubber Shirt,2020-03-12 00:00:00,Sports
30,Gorgeous Cotton Gloves,2020-12-11 00:00:00,Beauty
31,Licensed Metal Chicken,2019-06-15 00:00:00,Electronics
32,Handcrafted Steel Mouse,2019-03-30 00:00:00,Electronics
33,Fantastic Granite Pizza,2021-11-29 00:00:00,Computers
34,Practical Plastic Chair,2019-11-16 00:00:00,Watches
35,Handcrafted Granite Fish,2020-02-19 00:00:00,Phones
36,Practical Fresh Keyboard,2019-09-17 00:00:00,Jewellery
37,Unbranded Cotton Keyboard,2020-01-06 00:00:00,Toys
38,Handmade Wooden Tuna,2021-09-30 00:00:00,Home
39,Sleek Rubber Chair,2021-09-26 00:00:00,Electronics
40,Gorgeous Plastic Gloves,2019-06-23 00:00:00,Phones
41,Licensed Frozen Table,2019-12-22 00:00:00,Sports
42,Generic Wooden Gloves,2021-11-27 00:00:00,Watches
43,Handmade Soft Keyboard,2020-03-05 00:00:00,Phones
44,Awesome Cotton Sausages,2019-10-29 00:00:00,Phones
45,Small Metal Table,2019-12-03 00:00:00,Home
46,Practical Metal Chicken,2020-07-24 00:00:00,Toys
47,Refined Fresh Car,2021-11-23 00:00:00,Phones
48,Intelligent Wooden Mouse,2020-06-20 00:00:00,Home
49,Unbranded Frozen Shirt,2019-09-12 00:00:00,Computers
50,Fantastic Granite Bacon,2020-06-09 00:00:00,Jewellery
51,Handcrafted Cotton Table,2019-05-26 00:00:00,Computers
52,Rustic Fresh Computer,2019-04-08 00:00:00,Watches
53,Rustic Soft Fish,2020-10-18 00:00:00,Sports
54,Licensed Metal Chips,2021-05-13 00:00:00,Clothing
55,Fantastic Plastic Salad,2020-06-15 00:00:00,Watches
56,Incredible Frozen Chips,2020-10-11 00:00:00,Home
57,Refined Rubber Pants,2021-03-05 00:00:00,Beauty
58,Incredible Plastic Chair,2019-06-25 00:00:00,Computers
59,Fantastic Frozen Pants,2019-03-15 00:00:00,Home
60,Generic Cotton Shirt,2019-02-21 00:00:00,Electronics
61,Generic Metal Pants,2019-01-10 00:00:00,Beauty
62,Gorgeous Fresh Shirt,2021-12-22 00:00:00,Toys
63,Ergonomic Rubber Chicken,2020-05-27 00:00:00,Clothing
64,Practical Plastic Ball,2021-07-13 00:00:00,Clothing
65,Fantastic Frozen Chips,2021-10-08 00:00:00,Clothing
66,Sleek Metal Shirt,2021-07-09 00:00:00,Jewellery
67,Handmade Wooden Gloves,2020-12-17 00:00:00,Home
68,Gorgeous Rubber Chips,2020-06-20 00:00:00,Watches
69,Rustic Steel Bacon,2020-06-12 00:00:00,Toys
70,Practical Concrete Car,2019-01-27 00:00:00,Watches
71,Refined Granite Fish,2019-10-08 00:00:00,Jewellery
72,Rustic Granite Gloves,2019-02-11 00:00:00,Toys
73,Sleek Steel Pizza,2019-02-25 00:00:00,Home
74,Rustic Metal Towels,2019-09-28 00:00:00,Toys
75,Intelligent Metal Ball,2020-06-25 00:00:00,Computers
76,Sleek Wooden Towels,2020-06-21 00:00:00,Watches
77,Ergonomic Granite Towels,2019-02-21 00:00:00,Sports
78,Unbranded Wooden Mouse,2019-07-16 00:00:00,Home
79,Practical Concrete Hat,2021-03-17 00:00:00,Phones
80,Tasty Soft Chicken,2019-03-31 00:00:00,Home
81,Refined Frozen Pants,2021-02-21 00:00:00,Jewellery
82,Refined Cotton Towels,2021-05-07 00:00:00,Clothing
83,Awesome Rubber Soap,2021-02-16 00:00:00,Clothing
88,Intelligent Rubber Pants,2021-06-13 00:00:00,Phones
99,Gorgeous Concrete Towels,2021-01-22 00:00:00,Jewellery
84,Awesome Wooden Pizza,2020-10-14 00:00:00,Jewellery
89,Practical Cotton Shoes,2019-11-24 00:00:00,Watches
91,Handcrafted Frozen Table,2021-07-12 00:00:00,Electronics
96,Tasty Frozen Ball,2020-08-29 00:00:00,Beauty
85,Tasty Plastic Salad,2021-12-19 00:00:00,Sports
86,Gorgeous Cotton Computer,2021-02-04 00:00:00,Watches
87,Handcrafted Frozen Soap,2021-01-24 00:00:00,Computers
90,Gorgeous Plastic Bike,2021-02-27 00:00:00,Toys
92,Awesome Soft Salad,2021-10-23 00:00:00,Sports
93,Ergonomic Steel Tuna,2021-03-23 00:00:00,Sports
94,Incredible Soft Salad,2020-10-14 00:00:00,Home
95,Incredible Fresh Chicken,2020-06-29 00:00:00,Toys
97,Generic Wooden Pizza,2019-09-14 00:00:00,Computers
98,Practical Cotton Bacon,2020-05-07 00:00:00,Sports
100,Awesome Fresh Keyboard,2021-10-05 00:00:00,Clothing
